"knab_transaction_id","datum","tegenpartij","omschrijving","knab_bedrag","zakelijke_kosten","categorie","bronstatus","opmerking"
"60b636f0-254d-4c2e-b064-1bee54856290","2026-07-24","ESSO EXPRESS VELSERBRO","VELSERBROEK 24-07-2026 10:48 Pas: 3789","-29.85","29.85","brandstof","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"70b14b56-7eac-42c6-93d6-0a5d01c3f7cf","2026-07-23","DSG Bouwmaten B.V.","47214592052X44b7 7370405632707214 Uw betalingsopdracht voor order","-2831.83","2831.83","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"3be6b118-221f-4568-8537-0dcc6f249e56","2026-07-21","BCK*Toolstation AH","HAARLEM 21-07-2026 12:29 Pas: 3789","-2.71","2.71","gereedschap","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"a279438e-4da7-490c-965d-ad7520d94394","2026-07-21","Bouwmaat Haarlem","HAARLEM 21-07-2026 10:46 Pas: 3789","-320.40","320.40","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"96d49ea9-c128-4224-af77-8871d8c12f42","2026-07-20","Vroegop Timmerwerken","tanken geld","-200.00","200.00","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"8e2be75e-2c55-400a-a66e-00881cb576d8","2026-07-20","Selecta Netherlands B","Dordrecht 20-07-2026 10:33 Pas: 3789","-3.65","3.65","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"1ec4d671-e605-4374-9191-f031e93af768","2026-07-20","BCK*Toolstation AH","HAARLEM 20-07-2026 15:54 Pas: 3789","-241.66","241.66","gereedschap","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"5c510314-e895-41d3-86a7-f7eb3aeaf19b","2026-07-15","DERDENGELDEN BOUWMAAT","1000VF003319716","-122.38","122.38","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"c8d3e6d5-2ac2-4f07-86af-9c7d93e4c28f","2026-07-14","BCK*SHELL DE LUCHT WES","BRUCHEM 14-07-2026 20:07 Pas: 3789","-9.92","9.92","brandstof","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"c294ba66-aaf1-480c-bdd2-a656e32f23e2","2026-07-14","BCK*Toolstation NL B.V","LEIDERDORP 14-07-2026 14:19 Pas: 3789","-43.29","43.29","gereedschap","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"b9732fca-b3ec-4176-8a94-d57d3527a2c0","2026-07-14","PIVADA verhuur","PIVADAVe21581 8030835936184421 betaling PIVADA Verhuur","-211.50","211.50","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"a8e60a30-f618-402c-83ae-de268bb35f6b","2026-07-13","MS* VIAAMSTERDAM","AMSTERDAM 12-07-2026 10:06 Pas: 3789","-3.39","3.39","hotel","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"55e23b03-e211-42c8-bfd9-ad5dcb9245f8","2026-07-13","Argos Zeist","ZEIST 11-07-2026 20:37 Pas: 3789","-29.37","29.37","brandstof","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"8d56f135-a395-439f-b73b-388593806473","2026-07-13","ESSO ISSELT","AMERSFOORT 12-07-2026 09:02 Pas: 3789","-126.33","126.33","brandstof","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"b78a0736-d945-4bc8-b21d-b0d321b7bf7e","2026-07-13","Booking","S7GZ9Q6KXV4ZQ4G62I2M1 7180154441980973 Hotel at Booking.com","-15.31","15.31","hotel","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"f3c55909-3334-409a-8088-b8c457c7a075","2026-07-13","HD8201GammaA'foort","AMERSFOORT 12-07-2026 16:08 Pas: 3789","-87.47","87.47","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"6ce43c87-04a5-415e-8c77-9af12dd0e5ab","2026-07-13","KARWEI BARENDRECHT","BARENDRECHT 11-07-2026 17:22 Pas: 3789","-37.06","37.06","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"16f649da-42da-4215-9c9b-644df5f4b384","2026-07-13","Total Nn001657 Bodegra","Bodegraven 11-07-2026 15:34 Pas: 3789","-20.03","20.03","brandstof","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"956182eb-a746-4d27-97a2-cc73614bdbb1","2026-07-10","Bouwmaat Amersfoort","AMERSFOORT 10-07-2026 13:53 Pas: 3789","-360.02","360.02","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"abfd9a98-cd46-450d-a962-3fc53053809e","2026-07-08","Kentekenplaten, Fun + Luxeplaten...","1604493138 8151206842410051 Betaling voor bestelling: NW-65173 Kentekenplaten, Fun + Luxeplaten...","-16.94","16.94","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"dae5daea-28c8-4887-aea8-91c78c99a085","2026-07-06","BCK*SHELL HAARRIJN","BREUKELEN UT 04-07-2026 13:11 Pas: 3789","-15.31","15.31","brandstof","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"ed0ff067-3f10-4fd4-bb66-e504a95bbe94","2026-07-06","Bouwmaat Haarlem","HAARLEM 04-07-2026 12:28 Pas: 3789","-109.19","109.19","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"d389fd67-830b-42df-9ec0-6c6c4cb74312","2026-07-06","BCK*Praxis 2271 Vianen","VIANEN UT 06-07-2026 15:11 Pas: 3789","-41.99","41.99","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"29711707-3887-48cb-9056-cc4bf69d759b","2026-07-06","Taffne Bv","BEVERWIJK 04-07-2026 18:43 Pas: 3789","-15.00","15.00","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"11b8c096-0dea-4d13-bf6b-afc5a8c70267","2026-07-06","HomingXL via MultiSafepay","1602278491 8151396230417239 Betaalverzoek voor bestelling 30... HomingXL","-257.00","257.00","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"4e0e71bc-be4c-4792-b5fa-df9cb46a6eb9","2026-07-06","HomingXL via MultiSafepay","1602094068 8151854136357482 Payment for order .3000009153 HomingXL","-1207.50","1207.50","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"66dc2019-da4c-483f-bfff-942c53d3bfba","2026-07-02","Bouwmaat Haarlem","HAARLEM 02-07-2026 15:20 Pas: 3789","-20.26","20.26","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"3b815e4b-04a2-4e98-9d9d-c7b8a4483e96","2026-07-01","Bouwmaat Haarlem","HAARLEM 01-07-2026 09:28 Pas: 3789","-314.43","314.43","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"80b897d9-15b0-482b-ad90-2b9d5b15a84e","2026-07-01","Bouwmaat Haarlem","HAARLEM 01-07-2026 09:27 Pas: 3789","-327.69","327.69","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"f993807e-94f3-4ba2-a5ed-d2dc11ce0137","2026-07-01","Derks Lease B.V.","Factuur 56262423","-96.13","96.13","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"13ec8b3a-1fd5-44e3-9c91-76e3452ce55b","2026-06-24","GoCardless Ltd","GC2BWBD","-0.01","0.01","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"36efc680-d116-42fc-95de-a68ad27e655a","2026-06-24","CCV*Van Brenen Transpo","DOORN 24-06-2026 12:41 Pas: 3789","-38.50","38.50","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"5083c351-8866-4d98-943b-fb3cc91435e3","2026-06-22","DERDENGELDEN BOUWMAAT","1000VF003211113","-193.62","193.62","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"458fbf24-e524-4376-9d8b-717e4a252b27","2026-06-22","DERDENGELDEN BOUWMAAT","1000VF003206473,1000VF003206964","-524.12","524.12","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"44d9f5c0-54ef-4e9d-aa4f-2f15662a06f1","2026-06-22","DERDENGELDEN BOUWMAAT","5000VF001891333","-767.39","767.39","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"9cc1ed77-e4d6-4c97-9779-5809d02d2f8a","2026-06-22","Derks Lease B.V.","3461987868X144fa 7370486536614015 56262146","-97.13","97.13","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"f583d76e-ca92-4411-b6a4-e665cb1e178a","2026-06-22","glasdiscount.nl via MultiSafepay","1581930870 8151216821644123 Payment for order .GD-2026-06-18... glasdiscount.nl","-64.44","64.44","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"93a1f956-bb5b-4991-bed0-7413d95337db","2026-06-15","BCK*Toolstation CG","BEVERWIJK 15-06-2026 11:45 Pas: 3789","-17.64","17.64","gereedschap","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"e6dbe66c-2c5e-4d75-9c8c-3c8ae2779f92","2026-06-10","Derks Lease B.V.","3448641273Xf4eda 7370566834065563 56261879","-470.61","470.61","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"155ac917-cab8-4482-b5e5-a1dc585b4f07","2026-06-10","Derks Lease B.V.","3448642191Xfb2f5 7370736830855338 56262088","-1326.22","1326.22","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
